qid,pid
365,1956032
365,1963351
365,1956981
365,1961939
365,1960157
366,1803182
366,1948527
367,1226899
368,695449
369,1969361
371,1443525
372,871120
373,1962582
374,1959665
375,1934303
375,780306
375,1976064
375,1971181
375,1959403
375,539207
375,1966107
375,1956550
376,1960835
376,1958227
376,1956331
376,1220708
377,1965410
378,1967330
378,1957071
379,1956870
380,1959035
381,1957072
382,1966627
382,1954793
382,1957624
382,1970278
382,1961441
382,1955580
383,1965600
383,1967116
383,1965561
384,1963006
385,118494
386,1960822
386,1976336
386,1965254
386,1976213
386,1968728
388,1970231
388,1959079
388,1956471
388,1960625
391,1965879
392,1968167
393,1964326
393,1965796
394,1584346
394,1969929
394,1963647
395,1967003
395,1961726
395,1534433
395,1958376
396,1966887
396,1966378
396,1976312
397,1970649
397,1976006
397,1976094
398,1961383
400,637099
400,1968574
400,1954533
400,1968352
400,989732
400,1966456
400,1965618
400,1853049
401,1964682
402,1607846
402,1955126
402,1794952
402,1221028
402,333142
402,1958833
403,1959220
403,1963025
403,1965877
403,1961348
404,1961947
404,1954995
407,1967872
407,625704
408,1954780
409,1963140
410,1957248
410,1960659
410,958496
410,1955988
410,1966955
410,1957094
411,1960550
412,1960539
412,1965269
412,1968901
412,1961597
413,1956338
413,1966924
413,1956463
413,1975836
414,1963911
414,1961841
415,1957518
415,1970722
415,1960328
415,1954987
415,1955954
415,1955069
415,65417
416,1024811
416,1975869
417,751719
417,1338107
418,1964596
419,1975787
420,1960973
420,1976178
420,1961806
421,411970
422,491354
422,1957973
423,1970871
423,1969127
423,1960154
423,818019
423,1966401
424,1957316
425,1968840
425,1963407
425,1962028
427,1956680
427,1960029
427,195278
427,1958026
427,1968316
427,1954725
427,1964986
428,1965588
429,1764195
429,1975702
429,1961249
429,1968914
429,1964686
431,1961217
431,1957212
431,1773080
431,1963933
432,1962789
432,1976073
432,1964524
432,1966038
432,1955505
432,1975840
433,1957485
433,1966534
434,1966534
434,1959005
434,1954308
435,1976265
436,1186892
437,1962265
438,1968516
439,1954713
440,1963856
441,1965257
441,1960784
441,1960116
442,1969850
442,734533
442,1962560
442,1966242
442,1956529
442,1962977
442,1957394
443,1962368
443,1963296
443,1962973
443,1968973
443,1966424
443,1640630
443,1964632
443,1538202
444,1266198
445,1959007
446,966169
446,1976061
447,1966011
448,1964260
448,1963882
449,1975837
450,1954438
451,1965796
452,1964209
452,316769
452,868995
452,1961430
452,1968115
452,1960498
453,1970030
454,1954226
454,1954957
454,1954680
454,1967583
455,1955326
455,1964732
455,715295
455,1965730
456,1955880
457,1959300
457,1298731
457,1954331
457,1954859
457,1966163
458,1495490
459,1878910
460,1963673
461,1954356
461,1953900
461,1970623
461,1967702
462,693481
463,1970433
463,1976219
463,487853
464,1338107
465,1970697
466,1315067
467,1954685
468,1967312
468,768972
469,1963165
470,296154
470,1962336
470,1956852
470,1956547
470,1966174
470,1960181
470,958152
470,1967957
470,1970572
471,1966659
471,1969127
471,1966401
471,1956718
474,1960767
474,1975734
474,1954364
474,1956262
474,1961782
475,1956042
475,1117373
475,1022364
475,1137112
475,323055
475,1966529
475,1961898
475,1960791
475,1618561
475,1970511
476,1957550
476,1964489
477,1968651
478,1970057
478,1410440
478,1955573
478,850079
478,1960255
478,1964943
478,1331913
478,1956400
479,1955926
479,1961603
479,544145
479,1960885
480,1962344
480,1964112
480,1955070
480,1956997
481,1970217
481,1966531
482,1966066
482,1966786
482,1964409
483,1548457
483,1959781
483,1032688
483,1960603
484,1954843
484,1973870
484,1965706
484,1968371
484,1956820
484,1955705
484,1958717
485,1970599
486,1964896
487,1965565
488,1065869
489,835440
489,1954152
490,1954665
491,1954090
491,1962547
492,1970244
492,1961250
493,1962248
493,1956484
494,1963674
494,1965554
494,1967704
494,1969024
494,1962431
494,1965044
494,1959875
494,1962324
494,1970565
494,1954514
494,1957529
494,1956557
494,1969392
494,1956168
494,1959493
494,1955733
495,1968331
496,1954783
497,1968479
497,1966004
498,1955145
498,1504000
498,1969173
498,1959423
498,1958012
499,1973870
499,1968800
499,1961525
499,1969189
499,1955546
499,1964458
499,1964959
499,1969745
499,1961934
499,1961908
499,1967287
500,1963492
500,1963145
500,1956866
502,1965746
503,1958243
505,751427
506,786773
506,1089161
506,918369
508,1442194
509,1954899
509,1955978
509,1962289
509,1976083
509,1961028
511,1968320
511,1959211
511,1956858
512,1965943
512,1960370
512,1954296
513,1955101
513,1955600
513,1957249
515,1970358
515,1095114
516,1125928
517,1967306
517,1969311
517,1958653
517,1953921
518,1959854
518,1964532
518,1969647
519,1967501
519,1958405
519,1961468
519,676783
519,1517271
519,1088252
519,1957146
520,1970728
522,1268313
522,1957596
523,1963229
523,1956461
524,1960279
525,1961831
529,1957092
529,1970765
529,1969132
530,1967403
530,282259
530,1966647
531,1970276
532,1954775
532,782922
534,1965278
534,1956315
534,1959120
534,1970595
534,1792422
534,1957117
534,1961935
535,1965796
536,1976259
537,1968848
538,274204
539,1964418
540,1968553
540,1959975
541,1954585
542,1962030
542,1968276
543,1964021
543,1966151
543,1968322
543,1957174
543,797435
543,1965581
544,1145625
544,1725873
544,435981
545,1188402
545,1761046
545,1954328
546,1963728
546,1966538
546,1960169
547,1536004
548,1815741
548,311152
548,392323
548,1958033
550,1966534
551,1956947
551,1976146
551,1968262
551,1958951
552,1956749
552,818019
552,1966401
553,1738098
553,867463
553,1404261
553,1954683
554,1957618
555,1956342
555,1977314
555,1954723
555,1965345
555,1967121
556,1965796
557,1966713
558,1964493
559,1954195
559,196628
559,1797154
560,1976242
560,1965648
561,1957487
561,1957205
561,1955560
562,1960710
562,1958500
562,1961068
563,1967075
564,911143
564,1954185
564,1312332
564,829302
564,1959745
564,1504408
565,478904
565,1963073
565,364250
566,1976127
566,1970604
567,1966533
568,1966943
568,1969960
569,1956395
569,1968672
569,1960960
569,1965802
570,1956916
571,1961444
571,1962064
571,1955650
571,1183085
573,1960161
573,1961328
573,161093
573,1958611
573,1956007
573,1961050
574,1970443
574,1953944
574,1963975
575,1954909
575,1961829
575,1970844
576,1968301
577,1966442
577,1953557
577,1970285
577,1961064
579,1965753
579,751677
579,807242
580,1968664
580,1966545
583,1485924
583,1965555
583,1960816
583,1296611
584,1966529
584,1969629
584,1966113
584,1957802
584,1975778
585,1955689
586,1954208
586,1970303
587,1056046
589,1958183
589,1967966
590,1969574
591,1955057
591,1963765
591,1955287
592,1955297
593,1968811
593,1968070
593,1954817
593,907374
593,1966203
593,851441
593,1958289
593,1966521
594,267638
595,1961635
597,1968031
597,298255
597,1970141
597,1959892
597,1966971
598,1966331
598,1960033
598,1964902
598,1966575
598,1959654
599,812180
600,779013
600,1967021
600,1956730
601,885681
602,363406
602,650543
602,1964725
602,1962136
602,1969017
602,1956365
603,1954112
603,1960949
603,1960464
603,1966991
604,1975933
605,1958726
606,1218716
607,1701611
608,1961638
608,1954528
608,1964873
609,1976252
609,1965298
610,1965887
610,1032688
610,602412
610,1976296
611,1961183
611,1959772
612,1957521
612,1969578
612,1965222
612,1955635
612,1963583
613,485791
613,1959984
613,1470416
613,1964242
613,1966193
613,914886
614,1966466
614,584239
614,1960554
614,1944032
614,1954619
614,1018077
615,1970760
615,1967746
615,1967654
616,1961250
616,1958983
616,1970562
617,1963720
617,1955168
617,1961349
618,1031626
618,1274444
618,863034
618,1318329
618,55410
618,1958698
619,1962519
619,1959055
619,1957942
619,1955789
619,1958620
619,1970009
620,1958553
620,1967288
621,1763433
621,1970679
621,1968017
622,144132
623,1963471
624,1958342
625,1976150
626,1954332
626,1954606
626,1968160
626,1964269
626,1961552
626,1959190
626,1966180
626,1965680
627,1296662
628,1968802
628,1958577
628,1957554
628,1955481
628,1969964
628,1954837
628,1966913
628,1961280
628,1958516
628,1966110
628,1970351
629,1964191
630,1966162
630,1959452
630,1963605
631,386976
631,1296662
632,1958393
633,1071105
634,1957200
634,1570156
635,1965136
636,1976207
636,1965037
637,1954719
638,1957329
638,1438394
638,1955660
639,1963510
640,363406
640,1964725
641,169037
641,1463478
642,1965535
643,1437400
644,1958266
644,1963731
644,1962015
644,1959331
644,1959960
644,1957057
644,1956791
644,1966109
644,1963417
644,1959972
644,1960776
644,1964361
644,1965151
644,547560
644,1957673
644,1956707
644,1962787
644,1964075
645,1148976
646,1350125
646,1053908
646,1966183
647,1963746
648,1960011
648,1967879
648,1681143
649,1957521
649,1969578
649,1965222
649,1956584
649,1955635
649,1963583
649,1961587
649,1966860
650,1958865
650,1964765
651,613300
651,1960151
652,1963828
653,1957618
653,1963077
653,1954858
653,1959648
653,1961636
654,1969689
655,1968015
655,1954721
655,1969060
655,1968110
655,1958953
655,1967375
655,307214
656,1965790
656,997568
656,430837
657,1956491
659,1961877
661,1958862
661,1962852
662,1955725
662,1968366
663,1966007
663,1957963
663,1967445
664,1954332
664,1954606
664,1956328
664,1970158
664,1968160
664,1964269
664,1961552
664,1959190
664,1966180
664,1953878
664,1967928
665,991623
666,981528
667,1968945
668,1956122
668,1965709
668,1962939
668,701542
668,1962886
668,1955969
668,1970541
669,938159
670,810683
671,1962888
671,1955685
671,1957893
671,1955606
673,1966731
673,1968427
673,1975753
673,1957294
673,1965605
673,1966572
674,1969194
675,1957466
675,1968130
676,1959015
676,1959793
677,1955431
678,1963190
678,1975741
678,801000
678,1964642
678,1976136
678,168636
678,1228325
679,1960296
679,1965338
679,1953733
680,1965068
680,1956758
681,1954769
681,1959242
681,1953894
681,1959326
681,1963843
681,1965231
681,1963433
681,1966141
681,1961625
682,1970832
682,1965496
683,1632985
684,1964126
684,1762939
686,1965123
686,1959074
686,1960008
686,750602
687,1960670
688,1968889
689,1961171
689,1969552
689,1963459
691,1963592
691,1976248
691,924398
691,1966130
691,207758
691,1961986
691,1970413
692,1958514
693,1961933
693,1954237
694,1960640
695,1485924
695,1969437
695,1962934
696,1961388
696,1954151
697,1959217
697,1964581
697,1954471
697,329920
697,1965056
697,1953792
697,1969453
697,1960450
698,1966898
699,760617
700,1955058
700,1968430
700,1969510
700,1958689
700,1955764
701,1969487
701,1962227
702,1416119
702,1956393
702,851462
703,1962785
703,1976226
703,1963650
704,1959563
704,1962536
704,1192664
704,1970726
704,1954912
705,1964966
705,1976188
705,1970121
706,1962601
706,618249
706,241087
706,1963122
706,1961130
707,1275989
708,1958962
708,1966490
708,1959169
708,1961502
711,618249
711,1969123
711,1957714
712,1960362
712,1957762
713,1976117
713,1975962
715,81535
715,1958404
716,1964323
716,1958505
716,1965767
716,1959604
717,631358
717,1609669
717,1967161
717,792046
717,1956510
718,1944529
718,65672
719,231500
719,1958216
719,1981307
721,1954765
721,1969276
723,1968024
723,1961258
724,1954781
724,1958381
727,1957720
728,1976117
729,1969826
729,1962444
729,1953665
729,1955302
730,1958945
730,984496
730,1967932
730,1960200
732,1970503
732,385468
732,1961885
733,1956976
733,1965576
733,1954802
734,1964021
737,1966339
738,1960687
738,1964779
738,1961885
739,1970156
740,1964316
741,1955792
743,1965819
743,1965983
744,1965304
744,1961316
745,1361844
745,1959265
745,1965398
746,1928181
747,1799515
748,1962826
748,1968928
749,1575969
750,1962586
751,1198716
751,1643376
752,1954687
752,1969849
752,1956456
753,1969568
753,1970503
753,412959
753,1966990
753,1966277
753,1969479
753,1962768
754,1963759
754,1960308
754,1954176
755,1968243
756,1960240
756,1954032
756,1965172
756,1964968
756,1387455
756,1965564
756,1954219
756,1966653
756,1975903
756,1957275
756,1967743
756,1965768
756,1965636
757,1958769
758,1955811
758,1970487
759,1961001
760,1967716
761,1956538
761,1968735
762,1967886
763,1969273
763,1966926
764,1965558
764,1959228
765,1959341
766,1958221
766,1963962
767,1442194
769,1969179
769,1970758
769,1975947
769,1968218
769,1956313
769,1958852
770,1966846
770,1956453
771,1961613
771,1954451
771,1962682
771,1958069
772,1781364
772,866023
772,1422367
772,1966687
772,1956849
772,1958427
772,1970350
773,1967184
774,1652312
775,1958967
775,1975946
775,1976281
776,1963066
776,1966443
776,1958082
777,1962142
777,1960756
780,55410
780,1961220
780,1966296
780,1953847
780,1961279
780,1970127
780,1957052
781,1958672
781,1958128
782,1976296
783,1963106
784,1963600
784,1956028
784,1963446
785,1963178
786,1964966
787,1965766
788,1960825
789,1959511
789,1962443
789,1969820
790,1959792
790,1957675
790,1964440
790,1969509
790,820296
791,1958188
792,1969212
793,1957402
793,1956797
793,1956114
793,1958358
793,1975920
794,1781725
794,1957058
794,1766519
794,1958337
794,1957215
794,40730
794,758
796,1645778
797,1953866
797,1967589
798,877674
798,1959343
799,1970361
799,1957323
800,1967886
801,1584346
801,1962582
801,1665077
801,1969597
802,1966975
802,591964
803,1967526
804,935825
804,1962791
805,1964034
806,1976046
807,1875202
808,1965313
809,1963412
809,1964733
809,1965719
809,1968248
809,1967973
809,1963996
809,1960703
809,1969888
810,1954175
810,1970599
810,1954367
810,573208
811,1968450
812,1911661
813,1966077
814,193097
815,1954091
815,1955441
815,1958838
816,746649
817,1961144
817,1965947
817,863396
817,1968197
817,1958539
817,871475
818,1293309
818,1953831
818,880522
818,1242982
819,1966000
820,1679597
820,1954390
820,1954441
821,1962823
821,1964263
821,1967775
821,1966629
822,1960594
822,1969410
823,1964966
823,1970121
824,1957838
825,1970592
827,1955843
827,1958848
828,330036
828,1964077
828,1956573
828,1968560
828,1966053
828,1959447
829,1959788
829,1131767
829,781903
829,1511633
831,1171524
831,1970054
831,1954270
831,1968555
831,1969418
832,1631079
832,483209
832,1970415
832,1967703
833,1959583
834,1965216
834,1957377
834,1963789
836,1957951
836,1960440
836,1960963
836,1957058
836,1967691
836,1222213
836,1969159
836,1959412
836,1957215
836,1959209
836,1956946
836,1964276
837,1957206
837,1970864
837,1968949
839,1959778
839,1966908
839,1959603
839,1956665
839,1965530
839,1957011
839,1961670
840,1959168
840,1187007
840,1961940
840,1962968
841,1960925
841,1962153
841,1968149
841,1963877
841,1962987
841,1964140
841,1962802
841,1955323
841,1960064
841,1964193
841,1961345
841,1963394
841,594127
841,1550366
841,246557
841,1173404
843,1531083
843,249492
843,1969016
843,1966050
845,1963658
845,1968225
845,1963029
845,1960683
845,1964507
847,1963079
847,1958151
848,1959820
848,1957282
848,1968935
848,1969511
848,1969339
848,1956790
848,1970150
848,1954078
848,1968517
849,1958282
849,1959676
849,1959994
849,1957530
849,1964611
850,1970067
851,1969582
851,1489652
851,1962523
851,1956736
851,1970460
851,1957087
851,1968098
851,1962210
852,1961604
852,1970556
852,1967771
853,1379776
853,1967186
854,1964983
854,219236
854,1962620
854,1966143
855,1970666
855,1970325
855,1968229
855,1968240
855,1955109
855,1969195
856,1969900
856,167431
856,1970392
856,1962557
856,211023
856,1970089
857,1959484
858,1968455
858,1968653
858,1967501
858,1958940
858,1966079
858,1957146
858,1968276
858,1976151
858,1960996
858,1967081
858,1961468
859,1965873
859,1531083
859,1960405
860,1969223
861,1954827
861,1975861
861,1969516
862,1953737
862,1282279
862,1955717
862,1958938
862,1968162
864,1967991
865,1962046
866,1965309
866,1964703
867,1966597
867,1968805
867,1968634
869,1964923
870,1963485
870,1964343
870,1961754
872,928793
872,1965084
872,943778
872,1317786
872,1966897
872,1039625
872,1964145
872,1954069
872,1967505
872,1632144
873,1198716
873,1135675
875,1954919
875,1961247
875,1222595
875,1968046
875,1957581
876,1959744
876,113875
877,1961578
877,1961513
877,1965675
877,1960982
877,1955875
877,1954925
877,1965179
878,1970224
878,1969452
879,1955417
880,350768
880,1959260
880,1967135
880,1966231
881,1970415
881,1260519
882,1963919
884,1955912
884,1953999
884,1956113
885,1956134
886,546081
887,232489
887,1956379
888,1920437
888,1889076
888,1963836
890,1961722
890,1968063
890,1969213
890,1959698
890,1961069
890,1955851
890,1960783
890,1954482
890,1958327
890,1960916
890,1969718
890,26115
891,1802743
891,1965566
892,1968345
892,1963123
892,1967362
892,1975994
892,1967488
892,1960568
892,1954915
892,1961129
893,1956482
893,1957676
894,1961290
894,1082615
894,1976110
894,169037
894,1070644
895,1962058
897,1956669
898,1959279
898,1967465
898,181854
898,1959697
898,1966383
898,1957639
900,1960199
901,1959087
902,1967660
902,1966725
902,1963205
903,1960023
904,1965585
904,1976138
905,1953893
905,1955331
906,1959757
907,1963869
907,1961055
907,1962804
908,1335598
908,567169
908,1957322
908,1957265
908,1394138
908,1969280
908,1964639
909,540240
910,1961722
910,296906
912,1961870
914,444615
914,1963871
914,1506703
914,1955734
914,1960344
914,1961459
914,1957568
915,1976380
915,1967389
915,1236538
915,1962727
916,1964254
916,1967100
917,1961722
917,1961707
918,1968494
918,1969554
919,1970296
919,923691
920,1900802
920,1955737
920,1976249
920,1961650
920,1957435
920,1960225
920,1968771
920,1964081
920,1956963
920,1967020
920,1959921
920,1968626
920,1957331
920,1955149
920,1970209
920,1962485
921,1967435
921,1961178
922,1959177
922,1975829
922,1959716
922,1961489
